Fecha,ISR,IVA
2010-03-31,173724.58000000002,131175.78100000002
2010-06-30,152084.123,118488.984
2010-09-30,144706.301,126625.511
2010-12-31,156015.40899999999,128218.986
2011-03-31,195852.546,131121.957
2011-06-30,172748.678,123689.989
2011-09-30,170625.75699999998,124618.507
2011-12-31,181218.32799999998,157712.088
2012-03-31,217675.75900000002,140924.252
2012-06-30,183037.29499999998,138268.549
2012-09-30,174732.809,151568.995
2012-12-31,183466.593,149225.671
2013-03-31,225371.119,139195.747
2013-06-30,245125.97,130303.027
2013-09-30,215308.656,141496.599
2013-12-31,219717.74,145798.51799999998
2014-03-31,273723.642,169629.729
2014-06-30,252144.37600000002,163929.848
2014-09-30,220942.37099999998,165789.046
2014-12-31,239055.675,167736.43
2015-03-31,378026.095,173815.302
2015-06-30,292294.632,172493.557
2015-09-30,278586.954,192409.332
2015-12-31,288685.502,168494.644
2016-03-31,418443.421,187775.786
2016-06-30,348082.294,186487.05099999998
2016-09-30,304229.043,211717.75
2016-12-31,355260.69999999995,205719.658
2017-03-31,420118.43799999997,200634.278
2017-06-30,412281.86,199320.962
2017-09-30,353121.803,237656.168
2017-12-31,382715.384,178436.706
2018-03-31,437596.914,234439.989
2018-06-30,439722.558,226414.302
2018-09-30,380034.975,241945.21899999998
2018-12-31,407197.37600000005,219438.77899999998
2019-03-31,464295.02,243418.413
2019-06-30,463055.757,234514.30099999998
2019-09-30,371636.19299999997,232842.06199999998
2019-12-31,388843.11100000003,222551.991
2020-03-31,542596.883,297757.863
2020-06-30,425850.059,192040.5
2020-09-30,377066.505,230144.367
2020-12-31,417399.91099999996,267581.788
2021-03-31,576802.612,299731.635
2021-06-30,429924.026,259413.956
2021-09-30,410529.142,301128.287
2021-12-31,478440.275,263424.765
2022-03-31,703905.148544,291667.843982
2022-06-30,555672.497262,329881.653611
2022-09-30,493726.233566,322674.267836
2022-12-31,520535.671915,277578.907321
2023-03-31,722833.1312800001,293355.893197
2023-06-30,655778.263665,316163.822053
2023-09-30,544534.410413,343534.275807
2023-12-31,584085.60924,413528.576931
2024-03-31,716128.44318,319353.74871
2024-06-30,720518.8784640001,351517.155657
2024-09-30,601363.627967,367972.628139
2024-12-31,646483.792488,369138.985177
2025-03-31,901257.733624,400444.09611000004
2025-06-30,709912.444528,364414.66324
2025-09-30,632418.959033,384500.380709
