anio,vab_informal_real_millones,remuneraciones_informal_reales_millones,puestos_trabajo_informal_unidades,ISR,IVA,ingreso_obrero_patronal_nacional,carga_fiscal_sobre_VAB_pct,imss_sobre_remuneraciones_pct
2010,5998375.168,752205.2948336352,7618520.0,626530.4130000001,504509.262,162817.0,18.85576749240104,21.645287678546605
2011,6335031.647,807113.241606887,7842080.0,720445.309,537142.541,180435.0,19.851327034736123,22.35559902855401
2012,6648714.744,854991.6690564944,8074512.0,758912.456,579987.467,197194.0,20.13772547857108,23.063850460392054
2013,6652562.197,869687.4705922126,8113600.0,905523.485,556793.891,211801.0,21.981265754410202,24.35369108580745
2014,6708560.379,837230.5527472247,7856047.0,985866.064,667085.053,228885.0,24.639431168783705,27.338347752474412
2015,6521096.962,844925.759315809,8814572.0,1237593.183,707212.835,248868.0,29.82329551811378,29.45442214964833
2016,6560845.054,874000.6287987896,8910704.0,1426015.4579999999,791700.245,268836.0,33.802287430152134,30.75924560483249
2017,6597923.559,807736.8788116176,8406680.0,1568237.485,816048.1140000001,291704.61,36.13690849369842,36.113815977942004
2018,7007806.514,833782.29686797,8713011.0,1664551.823,922238.289,321727.8,36.912978502362805,38.58654725682498
2019,7272345.431,855203.0855308314,8897795.0,1687830.081,933326.767,350110.05,36.04279902363731,40.938819787195214
2020,6673543.512,876454.5960844143,8235731.0,1762913.358,987524.518,356442.44,41.21405473800109,40.668671439731924
2021,7823047.321,1163826.2920014001,9978220.0,1895696.055,1123698.6430000002,393816.87,38.59614513509089,33.83811421915585
2022,8182015.613,1268431.1808422615,11032936.0,2273839.551287,1221802.67275,448808.07,42.72348513345473,35.38292630917376
2023,8416649.800999999,1369437.1539704031,11580152.0,2507231.4145980002,1366582.5679879999,511047.49,46.02560489240914,37.31806812151417
2024,8779418.683,1412063.3999477858,11743523.0,2684494.742099,1407982.517683,565753.87,46.61444461814375,40.065755547585184
